Wall time,Step,Value
1748157508.0340972,187530,-50.68447494506836
1748157511.452237,189480,-51.67396926879883
1748157523.157051,191526,-50.71148681640625
1748157527.0616305,193693,-49.602394104003906
1748157540.1161087,195340,-54.521446228027344
1748157545.037724,197529,-53.45035171508789
1748157547.9738023,199590,-53.94097900390625
1748157559.7165043,201407,-54.99058151245117
1748157563.0461435,203074,-55.8381462097168
1748157565.5433223,204649,-57.996883392333984
1748157579.947531,206105,-59.30678939819336
1748157584.1275656,208073,-64.38545227050781
1748157585.1526008,209055,-65.44800567626953
1748157595.193105,210424,-65.2848129272461
1748157598.32338,212556,-62.27170944213867
1748157611.9915655,215373,-64.7548599243164
1748157616.1023724,217692,-66.11637115478516
1748157616.971564,218513,-71.58396911621094
1748157627.612303,220460,-72.75819396972656
1748157630.2064426,221961,-74.29975891113281
1748157633.1082318,223261,-75.46456146240234
1748157634.8486469,224179,-77.78057098388672
1748157647.1832123,226747,-81.06710815429688
1748157648.0332139,227586,-80.06198120117188
1748157648.9328725,228473,-80.18858337402344
1748157663.2049313,231282,-78.94755554199219
1748157664.1933107,232241,-80.68730163574219
1748157666.5260572,233759,-82.28767395019531
1748157667.9460866,234658,-86.11848449707031
1748157681.7170246,237674,-81.48042297363281
1748157698.5621793,241000,-85.24388122558594
1748157699.9071748,241810,-85.79488372802734
1748157700.999423,242797,-87.43543243408203
1748157718.9467676,246000,-84.52767944335938
1748157720.6994734,246991,-84.31226348876953
1748157721.59141,247792,-82.85594940185547
1748157723.7883272,249312,-79.97144317626953
1748157735.8178945,250547,-80.1306381225586
1748157737.0364668,251202,-79.7822036743164
1748157738.701543,252156,-79.7719497680664
1748157741.8714268,253807,-79.25594329833984
1748157751.8013165,256000,-76.166748046875
1748157755.8688552,258484,-73.24626159667969
1748157770.8573587,261000,-72.94525909423828
1748157773.0459194,262534,-72.02971649169922
1748157776.9022763,264329,-73.62963104248047
1748157795.6091003,266360,-70.82789611816406
